GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fund.It,controller.utils,FileServlet.Range,22,0,0,0,6,0,1,0,1,0
Fund.It,controller.utils,Validator,0,203,0,34,0,52,0,33,0,16
Fund.It,controller.utils,FileServlet,668,126,101,13,154,33,62,8,7,6
Fund.It,controller,GestioneFAQController,8,304,9,33,3,78,10,16,1,3
Fund.It,controller,GestioneDonazioneController,13,259,0,21,4,78,1,14,1,3
Fund.It,controller,GestioneCampagnaController,103,707,11,53,32,195,14,37,5,10
Fund.It,controller,GestioneSegnalazioneController,18,276,0,17,5,72,1,12,1,3
Fund.It,controller,GestioneUtenteController,24,462,1,33,10,116,3,26,2,9
Fund.It,controller,GestioneCategorieController,16,202,0,17,6,56,2,12,2,3
Fund.It,controller,AutenticazioneController,15,318,3,24,4,76,4,14,1,3
Fund.It,model.storage,ConPool,3,67,1,5,2,22,1,5,0,3
Fund.It,model.beans.proxies,DonazioneProxy,2,112,1,9,1,32,1,9,0,5
Fund.It,model.beans.proxies,SegnalazioneProxy,0,84,0,6,0,22,0,7,0,4
Fund.It,model.beans.proxies,UtenteProxy,0,121,0,6,0,31,0,10,0,7
Fund.It,model.beans.proxies,CampagnaProxy,0,144,0,8,0,38,0,12,0,8
Fund.It,model.services,AutenticazioneServiceImpl,16,62,1,11,5,22,2,9,1,4
Fund.It,model.services,TipoReport,0,27,0,0,0,2,0,1,0,1
Fund.It,model.services,CategoriaServiceImpl,12,63,0,16,4,14,2,12,2,4
Fund.It,model.services,ImmagineServiceImpl,0,25,0,0,0,8,0,4,0,4
Fund.It,model.services,CampagnaServiceImpl,67,147,2,12,13,38,10,13,9,7
Fund.It,model.services,ReportService,0,43,0,4,0,10,0,3,0,1
Fund.It,model.services,FaqServiceImpl,8,58,0,6,3,14,1,9,1,6
Fund.It,model.services,SegnalazioniServiceImpl,0,84,1,15,0,23,1,13,0,6
Fund.It,model.services,DonazioniServiceImpl,0,58,0,6,0,17,0,9,0,6
Fund.It,model.services,UtenteServiceImpl,10,109,1,19,3,30,2,15,1,6
Fund.It,model.DAO,SegnalazioneDAO,44,355,5,25,14,105,5,19,0,9
Fund.It,model.DAO,CategoriaDAO,27,208,5,17,6,59,5,13,0,7
Fund.It,model.DAO,ImmagineDAO,58,294,4,26,14,84,4,20,0,9
Fund.It,model.DAO,UtenteDAO,55,413,6,28,13,110,6,20,0,9
Fund.It,model.DAO,CampagnaDAO,74,486,5,35,18,122,5,26,0,11
Fund.It,model.DAO,FaqDAO,27,256,5,17,6,67,5,13,0,7
Fund.It,model.DAO,DonazioneDAO,44,398,5,27,14,128,5,20,0,9
Fund.It,model.beans,StatoCampagna,0,21,0,0,0,4,0,1,0,1
Fund.It,model.beans,Categoria,6,20,0,0,1,9,1,5,1,5
Fund.It,model.beans,StatoSegnalazione,0,21,0,0,0,4,0,1,0,1
Fund.It,model.beans,Campagna,20,80,0,0,3,34,1,23,1,23
Fund.It,model.beans,Segnalazione,19,54,0,0,4,22,1,15,1,15
Fund.It,model.beans,Immagine,9,24,0,0,2,10,1,7,1,7
Fund.It,model.beans,Utente,33,159,0,2,3,61,1,37,1,36
Fund.It,model.beans,FAQ,10,31,0,0,1,13,1,9,1,9
Fund.It,model.beans,Donazione,20,61,0,0,3,25,1,17,1,17
